City,Industry,Avg_Salary
LA,"Accounting, Banking & Finance",160000
"Pine Island",Sales,160000
Franklin,"Accounting, Banking & Finance",158363
Branchburg,"Property or Construction",156800
Sunnyvale,"Engineering or Manufacturing",156000
Bridgeport,Insurance,155000
"Bethesda ","Government and Public Administration",155000
"Remote, based out of Baltimore, MD metro area","Computing or Tech",155000
"East Bay"," Veterinary medicine",155000
"Lons Le Saunier","Computing or Tech",155000
"Home Based","Pharmaceutical ",155000
McLean,"Media & Digital",155000
Kent,"Aerospace Manufacturing",154500
"El Paso","Property or Construction",154000
Ventura,"Government and Public Administration",153500
Livermore,"Health and Safety",153000
Schaan,"Engineering or Manufacturing",152000
"regional city",Nonprofits,152000
Colorado,"Health care",151257
Newark,"Health care",150022.66666666666
Novi,"Computing or Tech",150000
SF,"Recruitment or HR",150000
"Daytona Beach",manufacturing,150000
"Los Angeles ","Hospitality & Events",150000
Varies,"Health care",150000
Pomfret,"Education (Primary/Secondary)",150000
"Rolling Meadows",Insurance,150000
"I work from home","Computing or Tech",150000
Philadelphia,Biopharmaceuticals,150000
"Raleigh Durham","Architecture, Engineering, Construction",150000
"San Diego ","Art & Design",150000
"21 - 30 years","Engineering or Manufacturing",150000
"New Orleans",Entertainment,150000
"Kincardine ","Utilities & Telecommunications",150000
"Austin ","Accounting, Banking & Finance",150000
Layton,"Recruitment or HR",150000
Brooklyn,"Accounting, Banking & Finance",150000
Norwalk,"Marketing, Advertising & PR",149000
"Cambridge ",Sales,148500
"London ",Energy,148000
"Palo Alto",Defense,148000
Chicopee,"Health care",147147
"Boston, MA",Pharma,147000
Troy,Law,146192
Stockholm,"Computing or Tech",146108.85714285713
EDMONTON,"Engineering or Manufacturing",146024.33333333334
Lubbock,"Education (Higher Education)",146015
Simsbury,"Engineering or Manufacturing",146000
"Los Angeles ","Media & Digital",146000
"St. Louis ","Education (Higher Education)",145000
"Redmond ","Engineering or Manufacturing",145000
"San Francisco",Fintech,145000
Zurich,"Consumer food products ",145000
Detroit,"Business or Consulting",145000
"Everett, WA","Engineering or Manufacturing",144250
Memphis,"Computing or Tech",144000
Iqaluit,"Utilities & Telecommunications",144000
"Boise-but remote. Company located in Boston ","Computing or Tech",144000
"Lafayette ","Health care",143520
"Ithaca NY","Education (Higher Education)",143500
"Lake Bluff","Health care",143089
Cupertino,"Engineering or Manufacturing",143000
"Toronto, ON","Computing or Tech",143000
Philiadelpia,"Computing or Tech",142000
Nanaimo,"Government and Public Administration",142000
"Cedar Rapids ","Computing or Tech",142000
Somerset,"Marketing, Advertising & PR",142000
"Cherry hill",nil,140000
"outside philadelphia ","Business or Consulting",140000
"Washington, DC","Diversity, Equity & Inclusion ",140000
Victoria,Museum,140000
"Fort Wayne ","Government and Public Administration",140000
Geneva,"Engineering or Manufacturing",140000
Jeffersonville,"Computing or Tech",140000
Plymouth,"Marketing, Advertising & PR",140000
"Boulder, CO","Computing or Tech",140000
USA,Sales,140000
"Davenport ","Accounting, Banking & Finance",140000
"New York City","Professional Association in Finance",140000
"New YorknCity","Accounting, Banking & Finance",140000
"Winnipeg ",Law,140000
Tysons,"Accounting, Banking & Finance",140000
"Chapel Hill","Utilities & Telecommunications",140000
Richland,"Waste Management ",140000
"Charlotte ","User Experience Design",140000
"St Joseph","Health care",139900
Bridgeport,"Health care",139000
"Denver, CO","Computing or Tech",139000
Perth,Mining,138000
"Eagan, MN",Nonprofits,138000
"Wasington ",Nonprofits,138000
"New York","Private Equity",138000
"Santa Rosa","Computing or Tech",138000
"Sam Francisco","Computing or Tech",138000
"Pensacola ",Pharmaceutical,138000
"Southfield ",Nonprofits,137600
Northbrook,"Government and Public Administration",137500
"Bethesda ","Hospitality & Events",137000
Newark,Entertainment,136000
"San Jose ","Computing or Tech",136000
"Santa Cruz","Health care",136000
Martinez,Law,136000
"Thousand Oaks","Engineering or Manufacturing",135504
Berne,"Health care",135000
"Calgary, Alberta","Computing or Tech",135000
Chelsea,"Hospitality & Events",135000
"New York City",Biotech,135000
Erlanger,IT,135000
Puyallup,"Engineering or Manufacturing",135000
Lakewood,"Marketing, Advertising & PR",135000
"Bethesda MD","Computing or Tech",135000
"prefer not to say","Accounting, Banking & Finance",135000
NY,Retail,135000
Decline,"Computing or Tech",135000
Atlanta,"Real Estate",135000
"Wentzville ","Health care",135000
"Montgomery County","Government and Public Administration",134782
Washington,nil,134000
"Geelong ","Government and Public Administration",134000
"Chester County","Accounting, Banking & Finance",133000
Singleton,"Engineering or Manufacturing",133000
Lancaster,"Education (Higher Education)",133000
"Terre Haute","Engineering or Manufacturing",133000
"San Diego ","Engineering or Manufacturing",132000
Lakeland,"Transport or Logistics",132000
Austin,"Environmental Consulting",132000
Accra,"Transport or Logistics",132000
"I left Boston for Indiana, so get a Boston salary in south bend ",Insurance,132000
"Richmond ","Computing or Tech",131300
"Hunt valley","Environmental ",131000
Waltham,"Recruitment or HR",131000
"Jacksonville ","Health care",130500
"SF Bay Area","Computing or Tech",130177.75
"San Francisco ",Sales,130000
"los alamos","Engineering or Manufacturing",130000
Toronto,"Government Relation",130000
"Haddonfield ",Law,130000
Washington,"Government Relations",130000
DFW,Law,130000
Tacoma,Law,130000
Waltham,Biotech/Pharma,130000
"North Reading","Engineering or Manufacturing",130000
Chatsworth,"Consumer Goods",130000
"Idaho Falls","Research & Development (Physical Sciences)",130000
Bagdad,"Engineering or Manufacturing",130000
"Los Angeles area","Computing or Tech",130000
"Washington, DC Primarily","Business or Consulting",130000
"Prefer not to disclose","Government and Public Administration",130000
Helena,Insurance,130000
Gaithersburg,pharmaceuticals,130000
"Bay Area, CA","Business or Consulting",130000
Lakewood,"Health care",130000
"Dallas Area","Computing or Tech",130000
Emeryville,"Biotech R&D",130000
"Chicago / FT Remote","Computing or Tech",130000
Woodbridge,"Business or Consulting",129000
"Rockville ","Social science ",129000
Lincoln,Entertainment,128960
"Madison Heights","Computing or Tech",128000
"Benton harbor","Engineering or Manufacturing",128000
"Bozeman ","Computing or Tech",128000
Uniondale,"Education (Primary/Secondary)",128000
Rockville,"Business or Consulting",127500
"Southwest MI","Public Health, local government",127000
"Remote, company is based in Raleigh NC","Health care",126000
Dulles,"Engineering or Manufacturing",126000
Decatur,"Health care",125500
"San Jose, CA","Hospitality & Events",125000
Silverton,"Business or Consulting",125000
"San Antonio ",Pharma,125000
"Hillsboro ","Computing or Tech",125000
"Portland OR","Computing or Tech",125000
"Washington D.C.","Marketing, Advertising & PR",125000
"San Jose","Staffing Firm",125000
Potomac,"Property or Construction",125000
"Albany, NY","Media & Digital",125000
Manhattan,"Computing or Tech",125000
"Ridgefield Park","Computing or Tech",125000
"NYC (remote)",Nonprofits,125000
"East Hanover","Marketing, Advertising & PR",125000
Nyc,nil,125000
"District of Columbia ","Government and Public Administration",125000
Gainesville,Pharmaceuticals,125000
Sunnyvale,"Accounting, Banking & Finance",125000
"El segundo","Computing or Tech",125000
"Long Beach","Energy, Oil and Gas",125000
"Detroit ","Government and Public Administration",125000
Newberg,"Accounting, Banking & Finance",125000
Denver,Biotech,125000
Victorua,Nonprofits,125000
Macon,Insurance,125000
Dedham,"Health care",124800
"Waterloo, Ontario ","Computing or Tech",124225
Tucson,IT,123600
"Fort wayne","Engineering or Manufacturing",123000
"Orange County","Agriculture or Forestry",122000
Indianapolis,Pharma,122000
Madison,"Scientific research (industry) ",122000
"Houston ","Education (Higher Education)",122000
"Sacramento, CA","Engineering or Manufacturing",121000
"Sarnia ","Engineering or Manufacturing",121000
"Seattle ","Media & Digital",121000
Saskatoon,"Agriculture or Forestry",121000
Riverside,"Property or Construction",120500
"Fort Myers",Law,120500
"New York",Insurance,120085
Reston,Law,120046.66666666667
"San Angelo ","Storage Facility ",120000
"White Plains","Accounting, Banking & Finance",120000
"Waterloo, ON, Canada","Computing or Tech",120000
Anaheim,Nonprofits,120000
Peabody,"Computing or Tech",120000
Bennington,"Computing or Tech",120000
Holbrook,"Computing or Tech",120000
"Remote job","Computing or Tech",120000
"Los Angeles","Freelance/Self-Employed Consultant ",120000
Hines,"Health care",120000
Zurich,Nonprofits,120000
Remote,"Ecommerce fraud",120000
"Sunshine Coast","Health care",120000
Nope,"Agriculture or Forestry",120000
Miami,"Hospitality & Events",120000
Burlington,"Utilities & Telecommunications",120000
"Cincinnati ","Health care",120000
"Toronto ","Media & Digital",120000
"San Diego",Military,120000
Swampscott,"Government and Public Administration",120000
"Tyson's Corner","Government and Public Administration",120000
"Western US","Engineering or Manufacturing",120000
"Melbourne ","Computing or Tech",120000
"Raleigh ","Media & Digital",120000
"London ","Business or Consulting",120000
Copenhagen,Insurance,120000
Stamford,"Family office ",120000
"RIchmond (remote company though)","Marketing, Advertising & PR",120000
Raymond,"Engineering or Manufacturing",119800
Medina,"Business or Consulting",119000
Chicago,"Pharmaceutical R&D",119000
Plano,"Accounting, Banking & Finance",119000
"Baton Rouge ","Recruitment or HR",118560
Pleasanton,Nonprofits,118450
"NA (work from home in small town, decline to specify)","Media & Digital",118450
Queensland,"Education (Primary/Secondary)",118000
"Bergen County",Entertainment,118000
"New York City","Restaurants & Hospitality",118000
"Remote (Southern CA)","Computing or Tech",117000
"New Albany","Computing or Tech",117000
"Quantico ","Government and Public Administration",117000
"Oakland and Hayward",Law,117000
NoVA,"Government and Public Administration",117000
Chantilly,"Recruitment or HR",116600
Toronto,"Biotech pharmaceuticals",116300
"Malvern, PA","Government and Public Administration",116000
"Remote near Worcester","Computing or Tech",116000
"Apache Junction","Computing or Tech",116000
"Louisville, CO","Computing or Tech",116000
Narragansett,"Engineering or Manufacturing",116000
Horsham,"It security ",116000
Brisbane,"Engineering or Manufacturing",115850
-,"Education (Higher Education)",115670.75
Auckland,Insurance,115500
"Philadelphia ",Pharmaceuticals,115000
N/A,Pharmaceuticals,115000
Madison,"Media & Digital",115000
Sterling,"Engineering or Manufacturing",115000
Indianapolis,nil,115000
RTP,"Engineering or Manufacturing",115000
Milwaukee/Remote,"Computing or Tech",115000
Portland,"Product Management",115000
Darwin,"Engineering or Manufacturing",115000
Rosemount,"Art & Design",115000
Bellevue,"Art & Design",115000
Nashua,"Accounting, Banking & Finance",115000
Scottsdale,Foodservice,115000
Laurel,"Accounting, Banking & Finance",115000
"Central Illinois","Accounting, Banking & Finance",115000
"Vienna, VA","Accounting, Banking & Finance",115000
"San Bernardino ",Law,115000
Boston,"Software Products",115000
"Hingham ","Recruitment or HR",115000
"Lawrenceville, NJ","Health care",115000
"Beaverton ","Computing or Tech",114000
"Sydney ","Accounting, Banking & Finance",114000
"Atlanta, GA ","Education (Higher Education)",114000
Brentwood,"Health care",114000
Summit,"Business or Consulting",113500
"Albuquerque ","Utilities & Telecommunications",113500
Orlando,"Education (Higher Education)",113379
"Annapolis Junction","Government and Public Administration",113000
"Overland Park ","Engineering or Manufacturing",113000
N?berg,"Real Estate / Housing",113000
"N/A - Remote","Media & Digital",113000
"Calgary ","Engineering or Manufacturing",112320
RTP,"Computing or Tech",112200
"Concord ","Computing or Tech",112000
Lebanon,"Computing or Tech",112000
Reston,"Government contracting",112000
Keyport,"Government and Public Administration",112000
" ","Engineering or Manufacturing",112000
"Boston ","Accounting, Banking & Finance",111651
Aiken,"Engineering or Manufacturing",111535
Laplace,"Engineering or Manufacturing",111000
"Oakland ","Education (Higher Education)",111000
"Rio de Janeiro","Computing or Tech",110551
"Suitland ",Intelligence,110000
Newport,"Food/Quick Service Restaurant (QSR)",110000
"Chapel Hill","Engineering or Manufacturing",110000
"Alpharetta, GA","Health care",110000
"Nashville ","Computing or Tech",110000
"Baltimore County","Public Libraries",110000
Vallejo,"Hospitality & Events",110000
"San Francisco","Professional Services",110000
"Central Qld","Engineering or Manufacturing",110000
"Framingham ","Bioinformatics ",110000
"Vacaville ","Health care",110000
Allentown,"Recruitment or HR",110000
"NYC ","Business or Consulting",110000
" networking","Health care",110000
"Las Vegas","Health care",110000
Beaverton,Operations,110000
Edmonton,Libraries,110000
Toronto,"Clinical Research",110000
"Rural Ontario ","Health care",110000
Bloomington,"Accounting, Banking & Finance",110000
"New Plymouth","Computing or Tech",110000
Seattle,"Archaeology/Cultural Resource Manager",110000
Frederick,"Computing or Tech",110000
Quincy,"Accounting, Banking & Finance",110000
Maryland,"Government and Public Administration",110000
Ventura,"Computing or Tech",110000
Stl,"Utilities & Telecommunications",110000
Huntersville,"Health care",110000
Olympia,"Accounting, Banking & Finance",110000
"Mountain View",Nonprofits,110000
Paducah,"Computing or Tech",110000
"Glasgow ","Computing or Tech",110000
"Orlando Metro Area",Nonprofits,110000
Singapore,"Accounting, Banking & Finance",110000
Chesapeake,Law,110000
"Mountain View","Engineering or Manufacturing",109649
"King of Prussia","Chemicals/ Materials",109400
Roanoke,"Recruitment or HR",109000
"Washington DC (and Philadelphia PA)",Nonprofits,109000
"Mclean ",Nonprofits,109000
"expat in Spanish speaking country","Engineering or Manufacturing",109000
Ottawa,"Transport or Logistics",109000
"Saint Paul","Manufacturing (medical devices)",109000
Marlborough,"Medical Device",109000
"St Paul ",Insurance,109000
Olney,"Health care",108570
Washington,"Politics/Government Relations",108500
Fairbanks,"Environmental compliance",108000
Warsaw,"Health care",108000
"Austin ","Business or Consulting",108000
"Aliso Viejo","Health care",108000
"Lake Forest","Computing or Tech",108000
"Cincinnati, OH","Health care",107900
"New Orleans ","Health care",107748
"League city","Accounting, Banking & Finance",107500
"Portland ","Media & Digital",107500
Miami,"Marketing, Advertising & PR",107356.66666666667
"Al Khobar","Oil & Gas",107045
"Minneapolis ","Transport or Logistics",107000
"Philadelphia Suburbs","Property or Construction",107000
"Lansing ","Government and Public Administration",107000
"Pittsburgh area","Accounting, Banking & Finance",107000
"St Louis","Engineering or Manufacturing",106900
Ashland,"Accounting, Banking & Finance",106600
"Detroit Area","Engineering or Manufacturing",106500
"New York ","Health care",106289.25
Bristow,"Healthcare IT",106080
Olathe,"Engineering or Manufacturing",106000
"Los Altos","Early childhood education (preschool)",106000
Albany,"Marketing, Advertising & PR",106000
"Mountain view","Health care",105244
"Cedar rapids","Government and Public Administration",105000
Chicago,"Commercial Real Estate",105000
"Phoenix ","Health care",105000
Waynesboro,"Computing or Tech",105000
"11 - 20 years","Marketing, Advertising & PR",105000
"West Chester","Recruitment or HR",105000
"Franklin, MA",Nonprofits,105000
Evansville,Insurance,105000
"Boston Area","Biotech ",105000
"Auckland ",Sales,105000
N/A,Sales,105000
"San Diego ","Education (Higher Education)",105000
"Chehalis ","Business or Consulting",105000
"Detroit ",Retail,105000
"Small Canadian City","Government and Public Administration",105000
"Fresno ",Insurance,105000
Hoboken,"Education (Higher Education)",105000
"Pleasant Prarie",Sales,105000
Boston,Biotech/software,105000
Folsom,"Engineering or Manufacturing",105000
Saskatchewan,"Government and Public Administration",105000
"Minneapolis ","Sourcing & Procurement",105000
Montgomery,"Health care",105000
"SF Bay Area (Remote)","Computing or Tech",105000
"Jacksonville Beach","Computing or Tech",105000
"Aurora ","Health care",105000
Napa,"Wine & Spirits",105000
"Boston, MA",Sales,104722
"Boston ","Pharma/biotechnology ",104500
"South San Francisco","Computing or Tech",104500
Amarillo,"Utilities & Telecommunications",104269
"Austin ","Engineering or Manufacturing",104250
"Fort Worth ","Engineering or Manufacturing",104000
"Telework ",Sales,104000
Naperville,"Transport or Logistics",104000
Lusby,"Utilities & Telecommunications",104000
Dallas,Energy,104000
Windsor,"Computing or Tech",104000
"Maitland, NSW","Education (Primary/Secondary)",104000
Kenosha,"Business or Consulting",103500
Boston,Scientist,103500
"Redwood City","Art & Design",103500
"Dallas ","Health care",103000
Sydney,nil,103000
Houston,"political campaign",103000
"Saint Louis ","Utilities & Telecommunications",103000
"Remote worker","Health care",103000
Irving,"Health care",103000
"New York","Scientific Research",103000
"Santa Barbara","Engineering or Manufacturing",103000
Phoenix,Finance,103000
Islamabad,"Government and Public Administration",102824
"San Francisco ","Engineering or Manufacturing",102823.75
"Eastern MA","Government and Public Administration",102601
Princeton,"Health care",102534
"New York ",Retail,102500
"Vancouver BC","Computing or Tech",102500
Sydney,"Hospitality & Events",102300
"Long Beach","Pharmaceutical ",102211
"Seattle area","Health care",102000
"Mount Washington ","Accounting, Banking & Finance",102000
"Los Angeles ","Information technology (IT)",102000
Houston,"Chemicals ",102000
"Sierra Vista","Computing or Tech",102000
"San Francisco","Market research",102000
"Fort Lauderdale",Retail,102000
"Framingham ","Engineering or Manufacturing",102000
Brooklyn,"Health care",101695.66666666667
None,"Health care",101400
"Albuquerque ","Engineering or Manufacturing",101351.66666666667
"Port Orchard","Government and Public Administration",101000
Bonn,"Utilities & Telecommunications",101000
"Chicago ","Utilities & Telecommunications",101000
"Montgomery, AL","Education (Higher Education)",101000
"Dallas ","Engineering or Manufacturing",101000
Union,Distribution,101000
"Cedar Rapids","Internal Communications",100800
Queensland,"Education (Higher Education)",100400
"North Bay","Health care",100050
"Parsippany ","Recruitment or HR",100040
"Hicksville ","Computing or Tech",100000
"South Bend","Business or Consulting",100000
"Sacramento ",Pharmaceutical,100000
Hjsjs,"Accounting, Banking & Finance",100000
"Fairfax VA","Computing or Tech",100000
Lucerne,Sales,100000
"Grand Rapids","Consulting Operations- Big 4",100000
"RICHMOND VA","Marketing, Advertising & PR",100000
Newtown,"Accounting, Banking & Finance",100000
"Los Angeles (but my job is remote)","Computing or Tech",100000
Ottawa,"Social Work",100000
"Le Center","Engineering or Manufacturing",100000
"Phoenix ","Transport or Logistics",100000
Dubuque,"Health care",100000
"Garden city",Insurance,100000
"Don? want to answer","Health care",100000
Stratford,"Agriculture or Forestry",100000
Kiel,"Computing or Tech",100000
Houston,Construction,100000
Skip,"Hospitality & Events",100000
Midland,"Haz/Ind/Rad Waste Management ",100000
Mississauga,"Marketing, Advertising & PR",100000
"Philadelphia ","Pharmaceuticals ",100000
Buffalo,"Government Contracting R&D",100000
Remote,"Cannabis compliance",100000
"Melbourne ","Property or Construction",100000
"Warwick ","Communications ",100000
"Port Chester","Art & Design",100000
Portland,"Food and Beverage ",100000
"Auburn ",Sales,100000
Louisville,"Environmental ",100000
Scottsdale,"Government and Public Administration",100000
Winnipeg,Law,100000
Tacoma,"Hospitality & Events",100000
"Milwaukee (remote)","digital commerce / ecommerce",100000
Sheboygan,"Manufacturing/Consumer Packaged Goods",100000
"Lake Buena Vista","Accounting, Banking & Finance",100000
"Calgary ",Sales,100000
Dallas,"Information Technology",99952
Laredo,Law,99780
"Alexandria ","Computing or Tech",99600
Edmonton,"Organizational Development ",99100
"Orange ","Social Work",99000
"Mount Laurel","Accounting, Banking & Finance",99000
Pasadena,Aerospace,99000
"Washington ",Retail,99000
Northampton,"Engineering or Manufacturing",99000
"New York","Leisure, Sport & Tourism",99000
"Moon Twp. PA","Computing or Tech",99000
"Falls Churcv","Health care",99000
Jacksonville,"Engineering or Manufacturing",98886.5
Peoria,"Accounting, Banking & Finance",98800
Covington,"Health care",98500
"Raleigh, NC","Computing or Tech",98500
"Maple Grove","Education (Primary/Secondary)",98500
"Pittsburgh ","Property or Construction",98004
Brisbane,"Health care",98000
Melbourne,Pharmaceutical,98000
Ogden,"Accounting, Banking & Finance",98000
Laurel,"Health care",98000
Stamford,Entertainment,98000
"Bristol ","Health care",98000
"Reading ","Engineering or Manufacturing",98000
Hauppauge,Manufacturing,98000
Bentonville,nil,98000
Lakewood,"Engineering or Manufacturing",98000
Leadville,"Business or Consulting",97500
"Chestnut Hill","Education (Primary/Secondary)",97000
Dubbo,"Accounting, Banking & Finance",97000
"Zurich ","Computing or Tech",97000
"Silver Spring",Pharma,97000
Wentzville,"Health care",97000
Detroit,"Education (Primary/Secondary)",96900
Jackson,"Engineering or Manufacturing",96800
"Jersey City","Accounting, Banking & Finance",96744.5
"Boston ","Business or Consulting",96706.66666666667
"Dallas / Fort Worth","Computing or Tech",96670
"Boca Raton","Accounting, Banking & Finance",96642
"Rockville ","Pharmaceitical manufacturing",96304
"NYC Suburb",Nonprofits,96075
Cleveland,Sales,96049.5
"Los Angeles, but I work with people in Europe including the company owner",Entertainment,96000
"Baltimore, Maryland","Medical Devices",96000
Topeka,"Computing or Tech",96000
"Metrowest Boston area ","Education (Primary/Secondary)",96000
Gdansk,"Computing or Tech",96000
"Brooklyn Park, MN","Health care",96000
Tracy,"Accounting, Banking & Finance",96000
Chelmsford,"Engineering or Manufacturing",96000
Carrollton,Nonprofits,96000
Greenfield,"Health care",96000
Elyria,"Recruitment or HR",96000
Annapolis,Insurance,96000
"Fairfax (but now permanently virtual)","Utilities & Telecommunications",96000
"Cleveland ","Agriculture or Forestry",96000
"Montr?l ",Entertainment,95700
"St Petersburg","Computing or Tech",95500
Elko,"Accounting, Banking & Finance",95400
Melville,Sales,95000
"New York Buty",Sales,95000
