Industry,Gender,"Highest Level of Education Completed",Avg_Salary
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)",Woman,"Master's degree",49500
Defense,Woman,"Master's degree",49413.666666666664
"Accounting, Banking & Finance",Woman,PhD,49264.1
"Education (Primary/Secondary)",Man,"Master's degree",49218.294117647056
Construction,Woman,"College degree",49058.666666666664
Sales,Man,"College degree",48843.90243902439
manufacturing,Woman,"Some college",48356.666666666664
biotech,Woman,"Master's degree",48225.25
"Business or Consulting",Man,"College degree",48165.416666666664
"Business or Consulting",Woman,"Professional degree (MD, JD, etc.)",48069
Construction,Woman,"Some college",48000
"Education (Higher Education)",Non-binary,"High School",48000
Landscaping,Woman,"College degree",48000
Rideshare,Woman,"College degree",48000
Environmental,Woman,"College degree",47870
Ecommerce,Woman,"College degree",47840
"Landscape Contracting",Woman,"College degree",47840
"Transport or Logistics",Man,"High School",47647.90909090909
"Media & Digital","Other or prefer not to answer","Master's degree",47519
Law,Man,"Master's degree",47417.25
"Accounting, Banking & Finance",Man,"Professional degree (MD, JD, etc.)",47077.454545454544
nil,Man,"High School",47000
"Health care",nil,"Professional degree (MD, JD, etc.)",46721.666666666664
"Engineering or Manufacturing",Man,PhD,46639.07407407407
Surveying,Man,"Some college",46280
"Pharmaceutical ",Woman,"Master's degree",46092.5
"Life Sciences",Woman,"Master's degree",46088
Translation,Woman,"College degree",46077.6
Nonprofits,"Other or prefer not to answer",PhD,46060.6
"Environmental health and safety",Man,"College degree",46000
Environment,Man,"College degree",46000
"Computing or Tech",Man,"College degree",45914.595859585956
"Pharmaceutical ",Woman,"College degree",45440.5
Museum,Woman,"Master's degree",45431.8
Internet,Woman,"Master's degree",45072.5
"Business or Consulting",nil,NA,45038.5
"Health care",Woman,"Professional degree (MD, JD, etc.)",44938.975155279506
"Biotechnology ",Woman,PhD,44193.333333333336
"Marketing, Advertising & PR",Woman,PhD,44168.444444444445
"Computing or Tech",Man,PhD,44125.39759036145
Insurance,Man,"College degree",44002.431818181816
coaching,Woman,"Master's degree",44000
Pharma,Woman,"Master's degree",43963.8
"Media & Digital",Non-binary,"Some college",43770
"Computing or Tech","College degree","5-7 years",43564
Training,Woman,"Master's degree",43555
Environmental,Man,"Master's degree",43500
Pharmaceuticals,Man,PhD,43411
"Government Relations",Woman,"College degree",43392.333333333336
"Health care",nil,"College degree",43299.666666666664
Insurance,Man,"Some college",43190.3
"Online learning",Woman,"College degree",43000
Pharmaceutical,Woman,"Some college",43000
"Environmnetal ",Woman,"College degree",43000
Sales,Woman,"High School",42995.625
"Law Enforcement & Security",Woman,"Some college",42876.666666666664
Museums,Man,"Master's degree",42500
"Business or Consulting",Man,"Master's degree",42159.82142857143
"Media & Digital",Man,"Some college",42117.90909090909
"Computing or Tech",Man,"Some college",42107.56704980843
Law,Man,"Professional degree (MD, JD, etc.)",42030.98823529412
"public library",Woman,"Professional degree (MD, JD, etc.)",42025.5
"E commerce ",Woman,"College degree",42000
"Educ tech",Woman,"Some college",42000
Ministry,Man,"College degree",42000
"Tabletop Games Publishing",Man,"College degree",42000
"Educational products",Woman,"Master's degree",42000
"Administration in MLM",Woman,"Some college",42000
Sales,Woman,"Professional degree (MD, JD, etc.)",41713.333333333336
"Virtual Assisting ",Woman,"Master's degree",41600
"Sailing Instructor",Woman,"High School",41600
Cleaning,Woman,"High School",41600
Insurance,nil,NA,41500
Libraries/Archives,Non-binary,"Master's degree",41120
"Computing or Tech",nil,"Master's degree",40964.833333333336
"Forklift operator warehouse",Man,"High School",40560
Saas,Man,"College degree",40544.5
manufacturing,Man,"Some college",40476
"Environmental Consultanting",Woman,"College degree",40200
"Business or Consulting",Woman,"High School",40107
Insurance,Non-binary,"Some college",40088.5
"Biomedical Research",Woman,PhD,40027
"Warehouse ",Woman,"College degree",40000
library,Woman,NA,40000
"environmental compliance ",Woman,"College degree",40000
"Political Research",Man,"College degree",40000
Construction,Man,"Some college",39550
Retail,Woman,PhD,39520
"Health care",Man,"Master's degree",39451.71428571428
"Computing or Tech",Woman,"Professional degree (MD, JD, etc.)",39391.76666666667
"Accounting, Banking & Finance",Man,"Master's degree",39343.191011235955
Libraries,Non-binary,"Master's degree",39131
"Media & Digital",Man,"College degree",39010.653465346535
"Engineering or Manufacturing",Man,"Some college",38995.205128205125
"Quality Assurance",Man,"College degree",38700
"Accounting, Banking & Finance",Man,"College degree",38390.627118644064
"Engineering or Manufacturing",Non-binary,"College degree",38216.8125
"Engineering or Manufacturing",Man,"College degree",38187.129166666666
"Public Library",Man,"Master's degree",38018
"Restaurant ",Woman,"Some college",38000
"Child care",Woman,"Some college",38000
"Environmental Consulting",Man,"College degree",38000
"Business or Consulting","Other or prefer not to answer","College degree",37844.8
Entertainment,Woman,"Professional degree (MD, JD, etc.)",37582
"Hospitality & Events",Man,"Master's degree",37566.25
"Ed Tech",Woman,"College degree",37545
"Art & Design",Man,"Master's degree",37537.6
Museums,Woman,PhD,37524.5
"College Athletics",Woman,"College degree",37500
"I work at a property tax management company. Not sure where this fits in. Consulting maybe?",Woman,"College degree",37500
Food,Man,"Some college",37440
"Engineering or Manufacturing",Man,"High School",37255.055555555555
nil,Woman,"Some college",37214.142857142855
"educational publishing",Woman,"College degree",37037.5
"Engineering or Manufacturing","Other or prefer not to answer","College degree",37028.153846153844
Entertainment,Woman,"Master's degree",36831.117647058825
Pharma,Woman,"College degree",36819.75
"Professional services",Woman,"College degree",36770
"clinical research",Woman,"Master's degree",36738.333333333336
"Child and Yout Care",Man,"College degree",36672
"Transport or Logistics",Man,"Master's degree",36583.52631578947
IT,Woman,"College degree",36531.5
Biotech,Woman,"College degree",36527.5625
"Academic Publishing",Woman,"College degree",36527.5
"Transport or Logistics",Woman,"Some college",36377.28571428572
"Recruitment or HR",Non-binary,"Master's degree",36356.666666666664
Architecture,Woman,"Master's degree",36302.25
"Veterinary care",Woman,"Some college",36000
MedComms,Woman,PhD,36000
"Security and manufacturing company",Woman,"College degree",36000
"Retail mid level management",Woman,"Some college",36000
Law,Woman,"Professional degree (MD, JD, etc.)",35756.499054820415
Nonprofits,"Other or prefer not to answer","College degree",35652.22222222222
"Computing or Tech",Woman,NA,35594.8
"Adult education",Woman,"College degree",35568
"Environmental ",Woman,"Master's degree",35532.5
Sciences,Woman,"College degree",35500
Sales,Man,"Master's degree",35425.818181818184
"museums & archives (not sure where this would fall)",Woman,"College degree",35360
"Beauty Manufacturing & Education ",Woman,"College degree",35360
"Law Enforcement & Security",Man,"Some college",35205
"Computing or Tech",Woman,"High School",35144.416666666664
"Marketing, Advertising & PR",nil,"Master's degree",35041
"clinical research",Woman,"College degree",34944.5
"Health care",Woman,PhD,34775.68831168831
Publishibg,Woman,"College degree",34770
Retail,Man,"Master's degree",34504.27272727273
"Marketing, Advertising & PR",Non-binary,"Master's degree",34360.333333333336
"Agriculture or Forestry",Woman,"High School",34045.5
"Social Research",Woman,"Master's degree",34024
"biological research",Woman,"College degree",34000
"Computing or Tech",Man,"High School",33797.94117647059
"Public Health",Woman,"Master's degree",33781.25
"Health care","Other or prefer not to answer","College degree",33731.357142857145
"Accounting, Banking & Finance",Woman,"Professional degree (MD, JD, etc.)",33722.02040816326
"Oil and gas",Woman,"College degree",33686.2
"Art & Design",Man,"Professional degree (MD, JD, etc.)",33600
"Engineering or Manufacturing",Woman,PhD,33544.1935483871
"Computing or Tech",Man,"Master's degree",33470.25925925926
"Oil & Gas",Woman,"College degree",33443.375
"Computing or Tech","Other or prefer not to answer","College degree",33363.833333333336
"Art & Design","Other or prefer not to answer","College degree",33363.666666666664
"Supply Chain",Woman,"College degree",33325
"Property or Construction",Man,"Master's degree",33227.055555555555
Nonprofits,Man,"Some college",33148.9
"Interior landscaping ",Non-binary,"Some college",33000
Food,Woman,"College degree",33000
Veterinary,Woman,"College degree",32804.75
"Commercial Real Estate",Woman,"College degree",32754.4
"Medical Technology",Woman,"College degree",32545
Science,Woman,"College degree",32532.5
"Food production",Woman,"College degree",32530
"Health care","Other or prefer not to answer","Master's degree",32516.2
"Property or Construction",Man,"College degree",32335.5625
"Leisure, Sport & Tourism",Woman,"Master's degree",32274.4375
"Animal Care",Woman,"College degree",32244.5
"Environmental Consulting",Woman,"Master's degree",32151.25
"Health care",Woman,"Master's degree",32089.86046511628
"Computing or Tech",Woman,"Master's degree",32011.425727411945
"Academia - STEM",Woman,"College degree",32000
"Marketing, Advertising & PR",Non-binary,"Professional degree (MD, JD, etc.)",32000
"Media & Digital",Man,"Master's degree",31894.458333333332
Insurance,Man,PhD,31787.14285714286
"Business or Consulting",Woman,PhD,31753.190476190477
"Computing or Tech",Woman,"Some college",31738.14024390244
"Computing or Tech",Woman,"College degree",31349.01937716263
"Marketing, Advertising & PR",Woman,"Professional degree (MD, JD, etc.)",31280
"Leisure, Sport & Tourism",Woman,"High School",31200
"Veterinary ",Woman,"High School",31200
"Fast food","Other or prefer not to answer","High School",31200
"Accounting, Banking & Finance","Other or prefer not to answer","College degree",31193.333333333332
"Utilities & Telecommunications",Man,"College degree",31047.425531914894
Retail,Woman,"Master's degree",31038.63829787234
"Utilities & Telecommunications",Woman,PhD,30835.25
Entertainment,Woman,PhD,30823.75
"Marketing, Advertising & PR",Man,"Master's degree",30780.363636363636
"Accounting, Banking & Finance","Other or prefer not to answer","Master's degree",30636.571428571428
"Utilities & Telecommunications",Woman,"Master's degree",30626.584615384614
"Health care",Man,"College degree",30602.408450704224
"Education (Primary/Secondary)",Man,"Some college",30457.666666666668
Entertainment,Woman,"College degree",30288.12389380531
Pharmaceuticals,Woman,"College degree",30126.6
"Computing or Tech",Non-binary,"Master's degree",30094
"Delivery and installation for commercial machinery",Man,"Some college",30000
"Administration ",Woman,"College degree",30000
"Medical Interpreter -(Spanish)",Woman,"Master's degree",30000
Plumbing,Man,"High School",30000
Plumbing,Man,NA,30000
"Recruitment or HR",Man,"College degree",29979.933333333334
"Aerospace and Defense",Woman,"College degree",29799
"Accounting, Banking & Finance",Woman,NA,29714.666666666668
"Utilities & Telecommunications",Non-binary,"High School",29661
"Education (Higher Education)","Other or prefer not to answer","College degree",29650.625
Pharmaceutical,Woman,"College degree",29575.625
"Research science",Woman,PhD,29267.5
"Art & Design",Woman,"Master's degree",29231.285714285714
manufacturing,Woman,"Master's degree",29225
"Public library ",Woman,"Master's degree",29153
"Fast Food",Woman,"College degree",29120
Retail,nil,"High School",29120
"Restaurant ",Man,"High School",29120
Insurance,Woman,"Master's degree",29105.66304347826
Biology,Man,"Some college",29000
"Agriculture or Forestry",Woman,PhD,28778.7
Nonprofits,Man,PhD,28772.714285714286
Aviation,Man,"High School",28700
"Transport or Logistics",Man,"Some college",28627
Biotechnology,Woman,"College degree",28624.85714285714
"Concrete Construction",Man,"Some college",28600
"Engineering or Manufacturing",Woman,"College degree",28090.437596302003
"Education (Primary/Secondary)",Woman,"Master's degree",28076.530120481926
"Transport or Logistics","Other or prefer not to answer","College degree",28065
"Media & Digital",Non-binary,"Master's degree",28041.6
"Public Policy",Woman,"College degree",28025
"Art & Design","Other or prefer not to answer","High School",28000
"Accounting, Banking & Finance",Woman,"Master's degree",27960.794366197184
"Recruitment or HR",Woman,"Some college",27785
Entertainment,Non-binary,"College degree",27776.14285714286
"Engineering or Manufacturing",Woman,"Master's degree",27717.20879120879
Retail,nil,NA,27600
"Agriculture or Forestry",Woman,"Master's degree",27441
"Media & Digital",Woman,"College degree",27374.048
"Law Enforcement & Security",Woman,"Master's degree",27358.333333333332
"Computing or Tech",nil,"College degree",27304.666666666668
"Property or Construction",Woman,"Professional degree (MD, JD, etc.)",27210
"Media & Digital",Man,"High School",27200.166666666668
Nonprofits,Woman,PhD,27167.301587301587
nil,Woman,"Master's degree",27158.416666666668
"Environment and sustainability",Woman,"Master's degree",27000
"Transport or Logistics",Woman,"Master's degree",26989.355555555554
"Computing or Tech",Woman,PhD,26969.433333333334
"Leisure, Sport & Tourism",Woman,"Some college",26848
"Transport or Logistics",Woman,NA,26540
"Library ",Woman,"Master's degree",26478
"Computing or Tech",Non-binary,"Some college",26472.909090909092
